38 52 grafo10000.38.graphml
40 50 grafo10003.40.graphml
39 49 grafo10005.39.graphml
98 136 grafo10006.98.graphml
42 61 grafo10008.42.graphml
39 50 grafo10010.39.graphml
40 53 grafo10012.40.graphml
39 52 grafo10014.39.graphml
39 52 grafo10016.39.graphml
96 140 grafo10017.96.graphml
38 47 grafo10019.38.graphml
38 50 grafo10020.38.graphml
39 48 grafo10021.39.graphml
39 51 grafo10023.39.graphml
32 38 grafo10024.32.graphml
32 38 grafo10026.32.graphml
38 50 grafo10027.38.graphml
96 135 grafo10028.96.graphml
40 55 grafo10029.40.graphml
38 52 grafo10030.38.graphml
38 49 grafo10031.38.graphml
38 47 grafo10032.38.graphml
40 54 grafo10034.40.graphml
38 47 grafo10035.38.graphml
39 50 grafo10037.39.graphml
38 46 grafo10038.38.graphml
98 128 grafo10039.98.graphml
41 56 grafo10041.41.graphml
39 53 grafo10042.39.graphml
38 46 grafo10044.38.graphml
38 50 grafo10045.38.graphml
40 50 grafo10046.40.graphml
32 39 grafo10048.32.graphml
39 50 grafo10049.39.graphml
97 133 grafo10050.97.graphml
40 51 grafo10054.40.graphml
40 56 grafo10055.40.graphml
40 59 grafo10057.40.graphml
32 40 grafo10058.32.graphml
90 121 grafo10060.90.graphml
99 131 grafo10061.99.graphml
39 59 grafo10064.39.graphml
40 53 grafo10066.40.graphml
40 52 grafo10069.40.graphml
40 50 grafo10071.40.graphml
97 136 grafo10072.97.graphml
90 130 grafo10074.90.graphml
90 129 grafo10076.90.graphml
40 51 grafo10078.40.graphml
41 57 grafo10079.41.graphml
38 47 grafo10080.38.graphml
98 125 grafo10082.98.graphml
38 51 grafo10083.38.graphml
97 147 grafo10084.97.graphml
39 52 grafo10087.39.graphml
39 55 grafo10088.39.graphml
37 49 grafo10089.37.graphml
97 118 grafo10090.97.graphml
96 130 grafo10091.96.graphml
97 130 grafo10092.97.graphml
98 140 grafo10093.98.graphml
93 120 grafo10095.93.graphml
95 130 grafo10096.95.graphml
95 118 grafo10097.95.graphml
95 134 grafo10098.95.graphml
94 144 grafo10099.94.graphml
99 139 grafo10100.99.graphml
92 132 grafo10101.92.graphml
97 132 grafo10102.97.graphml
98 131 grafo10103.98.graphml
96 134 grafo10104.96.graphml
